 #
 # Differential cross section:               MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #--------------------------------------------------------------
  0.000E+00  0.00000E+00  5.88005E-15  2.09981E+02  0.00000E+00
  2.000E+00  3.04586E-04  4.69748E-15  1.67750E+02 -3.32229E-05
  2.100E+00  3.35803E-04  4.64224E-15  1.65778E+02 -2.89756E-05
  2.200E+00  3.68542E-04  4.58766E-15  1.63828E+02 -2.40852E-05
  2.300E+00  4.02802E-04  4.53386E-15  1.61907E+02 -1.85609E-05
  2.400E+00  4.38585E-04  4.48095E-15  1.60018E+02 -1.24122E-05
  2.500E+00  4.75889E-04  4.42896E-15  1.58161E+02 -5.63924E-06
  2.600E+00  5.14715E-04  4.37783E-15  1.56335E+02  1.77118E-06
  2.700E+00  5.55063E-04  4.32744E-15  1.54536E+02  9.84186E-06
  2.800E+00  5.96931E-04  4.27768E-15  1.52759E+02  1.85958E-05
  2.900E+00  6.40321E-04  4.22852E-15  1.51003E+02  2.80473E-05
  3.000E+00  6.85233E-04  4.17996E-15  1.49269E+02  3.81980E-05
  3.100E+00  7.31665E-04  4.13205E-15  1.47558E+02  4.90412E-05
  3.200E+00  7.79618E-04  4.08484E-15  1.45872E+02  6.05698E-05
  3.300E+00  8.29092E-04  4.03835E-15  1.44212E+02  7.27849E-05
  3.400E+00  8.80086E-04  3.99254E-15  1.42576E+02  8.56987E-05
  3.500E+00  9.32601E-04  3.94736E-15  1.40963E+02  9.93316E-05
  3.600E+00  9.86636E-04  3.90274E-15  1.39369E+02  1.13704E-04
  3.700E+00  1.04219E-03  3.85865E-15  1.37795E+02  1.28827E-04
  3.800E+00  1.09927E-03  3.81508E-15  1.36239E+02  1.44703E-04
  3.900E+00  1.15786E-03  3.77207E-15  1.34703E+02  1.61326E-04
  4.000E+00  1.21797E-03  3.72962E-15  1.33187E+02  1.78690E-04
  4.100E+00  1.27961E-03  3.68776E-15  1.31692E+02  1.96799E-04
  4.200E+00  1.34276E-03  3.64647E-15  1.30218E+02  2.15664E-04
  4.300E+00  1.40743E-03  3.60570E-15  1.28762E+02  2.35304E-04
  4.400E+00  1.47362E-03  3.56541E-15  1.27323E+02  2.55737E-04
  4.500E+00  1.54133E-03  3.52559E-15  1.25901E+02  2.76975E-04
  4.600E+00  1.61056E-03  3.48623E-15  1.24495E+02  2.99018E-04
  4.700E+00  1.68131E-03  3.44733E-15  1.23106E+02  3.21860E-04
  4.800E+00  1.75357E-03  3.40891E-15  1.21734E+02  3.45498E-04
  4.900E+00  1.82735E-03  3.37098E-15  1.20380E+02  3.69936E-04
  5.000E+00  1.90265E-03  3.33352E-15  1.19042E+02  3.95185E-04
  5.100E+00  1.97947E-03  3.29650E-15  1.17720E+02  4.21266E-04
  5.200E+00  2.05780E-03  3.25991E-15  1.16413E+02  4.48196E-04
  5.300E+00  2.13765E-03  3.22372E-15  1.15121E+02  4.75985E-04
  5.400E+00  2.21902E-03  3.18792E-15  1.13843E+02  5.04633E-04
  5.500E+00  2.30190E-03  3.15253E-15  1.12579E+02  5.34136E-04
  5.600E+00  2.38630E-03  3.11754E-15  1.11329E+02  5.64490E-04
  5.700E+00  2.47222E-03  3.08296E-15  1.10095E+02  5.95700E-04
  5.800E+00  2.55965E-03  3.04879E-15  1.08874E+02  6.27780E-04
  5.900E+00  2.64859E-03  3.01500E-15  1.07667E+02  6.60751E-04
  6.000E+00  2.73905E-03  2.98157E-15  1.06474E+02  6.94629E-04
  6.100E+00  2.83103E-03  2.94850E-15  1.05293E+02  7.29423E-04
  6.200E+00  2.92452E-03  2.91577E-15  1.04124E+02  7.65135E-04
  6.300E+00  3.01952E-03  2.88340E-15  1.02968E+02  8.01761E-04
  6.400E+00  3.11604E-03  2.85137E-15  1.01824E+02  8.39297E-04
  6.500E+00  3.21407E-03  2.81970E-15  1.00693E+02  8.77752E-04
  6.600E+00  3.31362E-03  2.78837E-15  9.95746E+01  9.17140E-04
  6.700E+00  3.41468E-03  2.75738E-15  9.84679E+01  9.57483E-04
  6.800E+00  3.51725E-03  2.72671E-15  9.73727E+01  9.98797E-04
  6.900E+00  3.62133E-03  2.69636E-15  9.62887E+01  1.04109E-03
  7.000E+00  3.72692E-03  2.66631E-15  9.52156E+01  1.08437E-03
  7.100E+00  3.83403E-03  2.63656E-15  9.41534E+01  1.12863E-03
  7.200E+00  3.94265E-03  2.60713E-15  9.31023E+01  1.17386E-03
  7.300E+00  4.05278E-03  2.57801E-15  9.20623E+01  1.22008E-03
  7.400E+00  4.16442E-03  2.54919E-15  9.10331E+01  1.26730E-03
  7.500E+00  4.27757E-03  2.52066E-15  9.00146E+01  1.31554E-03
  7.600E+00  4.39223E-03  2.49243E-15  8.90063E+01  1.36483E-03
  7.700E+00  4.50840E-03  2.46447E-15  8.80079E+01  1.41518E-03
  7.800E+00  4.62608E-03  2.43679E-15  8.70194E+01  1.46658E-03
  7.900E+00  4.74527E-03  2.40938E-15  8.60406E+01  1.51903E-03
  8.000E+00  4.86597E-03  2.38225E-15  8.50717E+01  1.57254E-03
  8.100E+00  4.98817E-03  2.35539E-15  8.41126E+01  1.62711E-03
  8.200E+00  5.11188E-03  2.32881E-15  8.31632E+01  1.68276E-03
  8.300E+00  5.23711E-03  2.30249E-15  8.22233E+01  1.73952E-03
  8.400E+00  5.36383E-03  2.27643E-15  8.12927E+01  1.79741E-03
  8.500E+00  5.49207E-03  2.25062E-15  8.03711E+01  1.85643E-03
  8.600E+00  5.62181E-03  2.22506E-15  7.94584E+01  1.91660E-03
  8.700E+00  5.75306E-03  2.19975E-15  7.85545E+01  1.97790E-03
  8.800E+00  5.88581E-03  2.17469E-15  7.76596E+01  2.04034E-03
  8.900E+00  6.02007E-03  2.14988E-15  7.67736E+01  2.10394E-03
  9.000E+00  6.15583E-03  2.12531E-15  7.58963E+01  2.16870E-03
  9.100E+00  6.29310E-03  2.10099E-15  7.50277E+01  2.23467E-03
  9.200E+00  6.43187E-03  2.07690E-15  7.41676E+01  2.30186E-03
  9.300E+00  6.57214E-03  2.05305E-15  7.33158E+01  2.37028E-03
  9.400E+00  6.71392E-03  2.02943E-15  7.24721E+01  2.43995E-03
  9.500E+00  6.85720E-03  2.00603E-15  7.16366E+01  2.51084E-03
  9.600E+00  7.00198E-03  1.98286E-15  7.08093E+01  2.58297E-03
  9.700E+00  7.14827E-03  1.95992E-15  6.99901E+01  2.65635E-03
  9.800E+00  7.29605E-03  1.93721E-15  6.91790E+01  2.73101E-03
  9.900E+00  7.44534E-03  1.91472E-15  6.83759E+01  2.80697E-03
  1.000E+01  7.59612E-03  1.89245E-15  6.75806E+01  2.88427E-03
  1.025E+01  7.97965E-03  1.83771E-15  6.56258E+01  3.08340E-03
  1.050E+01  8.37255E-03  1.78429E-15  6.37183E+01  3.29094E-03
  1.075E+01  8.77480E-03  1.73219E-15  6.18577E+01  3.50720E-03
  1.100E+01  9.18641E-03  1.68136E-15  6.00424E+01  3.73255E-03
  1.125E+01  9.60736E-03  1.63177E-15  5.82716E+01  3.96708E-03
  1.150E+01  1.00376E-02  1.58341E-15  5.65448E+01  4.21102E-03
  1.175E+01  1.04773E-02  1.53626E-15  5.48608E+01  4.46484E-03
  1.200E+01  1.09262E-02  1.49028E-15  5.32188E+01  4.72869E-03
  1.225E+01  1.13844E-02  1.44546E-15  5.16183E+01  5.00275E-03
  1.250E+01  1.18520E-02  1.40178E-15  5.00584E+01  5.28754E-03
  1.275E+01  1.23288E-02  1.35921E-15  4.85383E+01  5.58329E-03
  1.300E+01  1.28150E-02  1.31774E-15  4.70574E+01  5.89015E-03
  1.325E+01  1.33104E-02  1.27735E-15  4.56151E+01  6.20864E-03
  1.350E+01  1.38150E-02  1.23802E-15  4.42105E+01  6.53911E-03
  1.375E+01  1.43290E-02  1.19973E-15  4.28431E+01  6.88166E-03
  1.400E+01  1.48521E-02  1.16246E-15  4.15123E+01  7.23679E-03
  1.425E+01  1.53845E-02  1.12620E-15  4.02174E+01  7.60498E-03
  1.450E+01  1.59262E-02  1.09092E-15  3.89576E+01  7.98632E-03
  1.475E+01  1.64770E-02  1.05662E-15  3.77326E+01  8.38125E-03
  1.500E+01  1.70371E-02  1.02326E-15  3.65414E+01  8.79038E-03
  1.525E+01  1.76063E-02  9.90844E-16  3.53837E+01  9.21380E-03
  1.550E+01  1.81848E-02  9.59340E-16  3.42587E+01  9.65188E-03
  1.575E+01  1.87724E-02  9.28736E-16  3.31658E+01  1.01053E-02
  1.600E+01  1.93692E-02  8.99013E-16  3.21043E+01  1.05743E-02
  1.625E+01  1.99751E-02  8.70155E-16  3.10738E+01  1.10590E-02
  1.650E+01  2.05901E-02  8.42144E-16  3.00735E+01  1.15602E-02
  1.675E+01  2.12143E-02  8.14963E-16  2.91028E+01  1.20782E-02
  1.700E+01  2.18476E-02  7.88594E-16  2.81612E+01  1.26132E-02
  1.725E+01  2.24900E-02  7.63021E-16  2.72480E+01  1.31658E-02
  1.750E+01  2.31415E-02  7.38226E-16  2.63625E+01  1.37364E-02
  1.775E+01  2.38021E-02  7.14191E-16  2.55042E+01  1.43252E-02
